alg time sample
duplicateElementsTwoFor 545717591 28739
duplicateElementsTwoFor 556617324 27274
duplicateElementsTwoFor 568774539 29339
duplicateElementsTwoFor 58511261 8760
duplicateElementsTwoFor 598265405 29560
duplicateElementsTwoFor 605634211 29766
duplicateElementsTwoFor 605710954 30092
duplicateElementsTwoFor 617906245 30567
duplicateElementsTwoFor 639892109 30811
duplicateElementsTwoFor 657672184 28876
duplicateElementsTwoFor 678635655 31789
duplicateElementsTwoFor 685583323 31692
duplicateElementsTwoFor 709349150 31733
duplicateElementsTwoFor 719140116 32498
duplicateElementsTwoFor 72425333 9645
duplicateElementsTwoFor 76242643 9828
duplicateElementsTwoFor 78347718 10587
duplicateElementsTwoFor 78452335 9873
duplicateElementsTwoFor 8123 84
duplicateElementsTwoFor 854573582 32725
duplicateElementsTwoFor 86518021 10969
duplicateElementsTwoFor 86560286 10996
duplicateElementsTwoFor 88330038 11216
duplicateElementsTwoFor 91086885 11473
duplicateElementsTwoFor 91329239 10680
duplicateElementsTwoFor 9419391 3639
duplicateElementsTwoFor 9464812 3732
duplicateElementsTwoFor 96553653 11927
duplicateElementsTwoFor 98502339 13776
duplicateElementsTwoFor 98829833 12018
duplicateElementsTwoFor 99169522 12098
